Borough,Bedrooms,Bathrooms,FloorArea,PropertyAge,Price
Wandsworth,1,1,25.0,1980-2000,692311
Croydon,1,1,25.0,1950-1980,483233
Brent,5,3,141.1,1900-1950,1140849
Lewisham,2,2,59.7,1900-1950,696202
Islington,1,1,25.0,1900-1950,747118
Bromley,3,3,95.8,Pre-1900,940193
Westminster,2,1,64.9,1950-1980,1011877
Bromley,3,1,101.1,1950-1980,869051
Lewisham,3,2,82.8,Pre-1900,919401
Croydon,3,2,76.3,1980-2000,781044
Brent,2,1,45.8,Post-2000,751088
Westminster,2,1,60.6,Post-2000,1274981
Kensington and Chelsea,2,1,50.3,Post-2000,1225269
Camden,2,1,47.5,1900-1950,996143
Westminster,1,1,25.0,Pre-1900,979041
Haringey,2,1,45.7,Post-2000,844508
Hackney,2,1,59.0,Pre-1900,868806
Lewisham,2,1,34.8,1900-1950,590749
Wandsworth,3,2,88.5,1950-1980,969726
Croydon,2,1,66.1,1900-1950,726941
Croydon,1,1,25.0,Post-2000,474820
Tower Hamlets,3,2,112.8,1980-2000,1097668
Hackney,3,2,84.3,1980-2000,972373
Tower Hamlets,2,1,32.6,Post-2000,782909
Ealing,3,2,79.8,1900-1950,862913
Newham,1,1,28.9,1980-2000,583914
Southwark,2,2,62.7,1950-1980,846150
Greenwich,4,3,108.1,1980-2000,978627
Westminster,4,2,96.8,Pre-1900,1339517
Croydon,2,2,39.6,1980-2000,572769
Wandsworth,3,2,74.2,Post-2000,994037
Brent,4,3,103.6,Pre-1900,996735
Waltham Forest,5,3,123.0,Pre-1900,1132293
Ealing,2,1,45.0,Pre-1900,729032
Wandsworth,2,2,65.9,1950-1980,874207
Islington,2,1,80.7,1900-1950,988482
Greenwich,1,1,39.3,Post-2000,657167
Hammersmith and Fulham,2,1,75.6,1950-1980,1043199
Westminster,3,2,98.6,1950-1980,1200989
Brent,3,1,96.5,1980-2000,958760
Southwark,4,2,106.9,1950-1980,1049385
Kensington and Chelsea,1,1,30.1,1950-1980,1032059
Waltham Forest,2,1,49.7,1980-2000,770388
Hammersmith and Fulham,1,1,25.0,1980-2000,845611
Southwark,1,1,29.0,Pre-1900,747669
Brent,4,3,122.7,Pre-1900,1155700
Lewisham,2,1,62.3,1900-1950,752372
Kensington and Chelsea,3,2,81.6,1950-1980,1318802
Croydon,1,1,28.8,1900-1950,522413
Ealing,2,1,62.5,1980-2000,757444
Hackney,3,2,94.0,Post-2000,1042219
Hammersmith and Fulham,1,1,25.0,1900-1950,809595
Westminster,2,1,39.8,1950-1980,950932
Brent,1,1,44.6,1950-1980,680291
Greenwich,3,2,83.1,1950-1980,802758
Camden,5,3,133.6,1980-2000,1371156
Greenwich,3,1,80.0,Post-2000,892142
Ealing,5,2,136.0,1900-1950,1250501
Tower Hamlets,3,2,92.4,Pre-1900,995265
Croydon,4,3,95.4,1980-2000,918397
Kensington and Chelsea,2,1,56.4,1950-1980,1185876
Waltham Forest,2,2,59.7,1900-1950,785776
Newham,2,1,61.9,Pre-1900,774393
Barking and Dagenham,3,2,87.3,1950-1980,779452
Croydon,1,1,35.7,1900-1950,580487
Newham,1,1,25.0,Post-2000,592726
Lewisham,4,2,97.9,1950-1980,941084
Barking and Dagenham,1,1,64.9,1900-1950,605937
Waltham Forest,5,3,135.5,1980-2000,1100631
Newham,3,2,81.2,1900-1950,878932
Islington,2,1,66.2,1950-1980,993663
Waltham Forest,3,2,107.9,1950-1980,901639
Croydon,3,2,75.8,1950-1980,723652
Croydon,1,1,25.0,1980-2000,568200
Bromley,3,2,65.4,1900-1950,859827
Westminster,3,2,107.9,Post-2000,1411695
Wandsworth,1,1,25.0,1980-2000,738364
Hackney,1,1,27.6,1900-1950,698724
Barking and Dagenham,1,1,25.0,1900-1950,506498
Greenwich,1,1,25.0,1900-1950,596087
Bromley,1,1,25.0,1900-1950,592860
Hammersmith and Fulham,3,2,69.9,1950-1980,1046369
Ealing,2,1,45.6,Pre-1900,814697
Waltham Forest,4,2,142.1,Post-2000,1151955
Croydon,2,1,62.4,Pre-1900,714409
Hackney,2,1,70.0,1900-1950,899970
Barking and Dagenham,3,2,96.4,Pre-1900,808908
Bromley,4,3,110.5,1900-1950,1058480
Bromley,2,1,49.4,Post-2000,754712
Barking and Dagenham,2,1,59.7,1980-2000,692374
Lewisham,4,2,114.5,1900-1950,1039691
Hackney,2,1,47.5,Post-2000,814666
Hackney,1,1,29.9,Post-2000,823737
Bromley,2,1,45.4,1980-2000,725641
Camden,3,2,81.4,Post-2000,1131080
Islington,1,1,25.0,1980-2000,816682
Wandsworth,2,1,37.0,1950-1980,770171
Newham,2,1,25.0,1950-1980,485621
Barking and Dagenham,4,2,97.9,1900-1950,832472
Southwark,2,1,83.1,1950-1980,884879
Waltham Forest,2,1,51.4,Post-2000,691359
Waltham Forest,2,2,67.6,1950-1980,766141
Lambeth,2,1,25.0,Post-2000,724819
Wandsworth,3,2,68.9,1950-1980,849725
Brent,3,2,63.7,1980-2000,828715
Croydon,3,2,81.0,1980-2000,788677
Lambeth,3,2,120.3,1980-2000,988500
Wandsworth,4,3,118.9,1980-2000,1172944
Tower Hamlets,2,1,81.4,1900-1950,924133
Hackney,5,3,136.2,Pre-1900,1228052
Hammersmith and Fulham,1,1,48.5,Post-2000,988712
Croydon,3,2,115.1,Pre-1900,956896
Brent,2,1,54.4,1950-1980,717731
Ealing,3,2,75.9,1950-1980,777952
Lambeth,2,1,36.2,1950-1980,700792
Ealing,3,2,79.4,1980-2000,860243
Kensington and Chelsea,4,3,113.2,1980-2000,1470705
Hammersmith and Fulham,3,2,114.5,Post-2000,1355939
Ealing,3,2,64.6,1950-1980,810154
Barking and Dagenham,1,1,28.9,1950-1980,478201
Hammersmith and Fulham,1,1,25.0,Post-2000,934886
Barking and Dagenham,5,2,133.6,Post-2000,1058808
Waltham Forest,3,2,88.7,Post-2000,906580
Newham,2,1,63.7,1980-2000,710498
Ealing,2,1,64.8,Pre-1900,833869
Bromley,1,1,34.0,Pre-1900,679244
Brent,2,1,64.7,Post-2000,847041
Newham,2,1,56.7,Post-2000,833898
Kensington and Chelsea,1,1,25.0,1980-2000,1025465
Lambeth,1,1,25.0,1900-1950,687003
Newham,2,2,47.8,1980-2000,704633
Ealing,2,1,54.0,1900-1950,803944
Wandsworth,1,1,46.8,1950-1980,723818
Bromley,2,2,54.5,1950-1980,792805
Southwark,4,3,109.1,Post-2000,1028000
Brent,2,1,61.8,1900-1950,763609
Wandsworth,4,2,107.9,1950-1980,1115691
Hammersmith and Fulham,4,3,124.2,1950-1980,1243748
Greenwich,1,1,57.7,1980-2000,750773
Southwark,1,1,60.9,1950-1980,700544
Westminster,2,1,57.5,Post-2000,1128610
Haringey,2,2,61.1,Pre-1900,818921
Haringey,2,1,79.7,1900-1950,911485
Ealing,2,1,53.8,1980-2000,759246
Bromley,3,2,94.2,1950-1980,880541
Westminster,1,1,25.0,1900-1950,1023915
Newham,5,3,135.3,1950-1980,1108218
Croydon,1,1,45.3,1980-2000,577120
Bromley,4,2,101.2,Pre-1900,940404
Waltham Forest,1,1,26.1,1900-1950,534377
Brent,1,1,25.0,Post-2000,671071
Haringey,1,1,58.1,1950-1980,768041
Islington,5,3,158.9,Pre-1900,1416328
Lambeth,1,1,30.8,1900-1950,665338
Newham,3,2,91.6,1980-2000,813462
Brent,4,2,117.9,1900-1950,1083683
Barking and Dagenham,3,1,104.8,Post-2000,934803
Brent,2,1,48.2,1980-2000,640087
Wandsworth,5,3,151.0,1950-1980,1251344
Brent,4,3,128.2,Post-2000,1088750
Camden,2,1,74.2,1950-1980,935185
Islington,2,1,25.0,1900-1950,781800
Islington,5,3,131.0,1980-2000,1298725
Lewisham,5,3,124.7,1950-1980,1064692
Westminster,2,1,58.2,1900-1950,1176864
Greenwich,3,2,53.8,1900-1950,757009
Hackney,2,1,25.3,1950-1980,620275
Hammersmith and Fulham,2,2,88.6,1900-1950,1112003
Waltham Forest,1,1,37.3,1980-2000,589973
Newham,1,1,29.8,1980-2000,511081
Hackney,3,2,89.5,1950-1980,973315
Southwark,2,1,58.2,1950-1980,794450
Waltham Forest,1,1,43.0,1950-1980,664863
Wandsworth,2,1,46.5,1900-1950,815896
Newham,2,1,58.8,Pre-1900,748418
Hammersmith and Fulham,5,3,143.4,1900-1950,1402003
Lambeth,4,2,96.3,1900-1950,1047007
Hackney,2,1,75.2,1950-1980,878827
Croydon,4,2,105.3,1980-2000,900322
Brent,2,1,71.3,1950-1980,793398
Southwark,3,1,85.7,Post-2000,998318
Ealing,5,3,164.5,Post-2000,1375607
Lewisham,2,1,40.4,Post-2000,727145
Waltham Forest,3,2,67.7,Post-2000,869985
Islington,2,1,42.4,1980-2000,858911
Tower Hamlets,2,2,58.0,1950-1980,800725
Lewisham,2,1,79.1,Pre-1900,858243
Islington,5,3,163.9,1980-2000,1387683
Kensington and Chelsea,2,1,25.0,1980-2000,1061274
Lewisham,4,2,115.7,1950-1980,946030
Tower Hamlets,4,3,63.8,1980-2000,875953
Wandsworth,2,1,67.9,1950-1980,912696
Wandsworth,2,1,72.8,1950-1980,865696
Greenwich,3,2,83.4,1950-1980,800622
Tower Hamlets,2,1,57.3,1980-2000,719980
Lewisham,1,1,29.1,Post-2000,703407
Barking and Dagenham,5,3,128.2,Post-2000,1042577
Haringey,3,2,90.5,1980-2000,983504
Tower Hamlets,2,2,52.5,Pre-1900,838318
Hackney,3,2,98.0,Post-2000,1057251
Barking and Dagenham,1,1,26.3,1900-1950,501218
Wandsworth,2,1,43.1,Post-2000,918340
Waltham Forest,4,3,89.0,1900-1950,952950
Hammersmith and Fulham,4,3,84.0,1950-1980,1141637
Haringey,2,1,75.7,1980-2000,899728
Wandsworth,2,1,49.1,1980-2000,847683
Ealing,3,3,89.1,1950-1980,896148
Wandsworth,2,1,82.7,1980-2000,938264
Southwark,1,1,25.0,1950-1980,666605
Lewisham,2,1,46.6,1900-1950,737897
Newham,3,2,82.0,1980-2000,858790
Newham,1,1,28.4,1900-1950,589189
Barking and Dagenham,1,1,56.3,1980-2000,615960
Brent,1,1,51.5,Pre-1900,711856
Tower Hamlets,2,1,65.3,1950-1980,769349
Kensington and Chelsea,2,1,77.7,1950-1980,1275819
Greenwich,2,1,53.3,1900-1950,697176
Camden,2,1,60.5,1950-1980,945878
Brent,4,2,107.5,1980-2000,1061331
Westminster,1,1,25.0,Post-2000,1073322
Lambeth,2,1,74.1,Post-2000,902274
Westminster,5,3,148.0,1980-2000,1501068
Haringey,3,2,84.3,1950-1980,898513
Croydon,3,2,84.0,1950-1980,813576
Islington,2,1,33.4,Pre-1900,867963
Lambeth,1,1,25.0,1950-1980,584668
Waltham Forest,3,1,89.0,Post-2000,993279
Wandsworth,3,2,76.1,1950-1980,929485
Greenwich,1,1,25.0,1950-1980,526909
Waltham Forest,2,1,54.4,1900-1950,774063
Bromley,4,2,101.8,1900-1950,1039719
Lewisham,1,1,25.0,Pre-1900,565193
Tower Hamlets,2,1,31.8,1980-2000,693333
Bromley,2,1,53.8,1950-1980,713940
Greenwich,3,2,93.3,1980-2000,899568
Greenwich,3,2,59.3,1950-1980,765489
Kensington and Chelsea,3,2,83.6,1980-2000,1325678
Bromley,2,2,60.2,1980-2000,711049
Ealing,1,1,25.0,1980-2000,673771
Ealing,2,2,77.3,1950-1980,780364
Westminster,3,2,78.2,1950-1980,1168597
Hackney,3,2,82.5,Post-2000,1004404
Bromley,5,3,137.6,Pre-1900,1177531
Haringey,2,1,29.4,1900-1950,784983
Lambeth,3,2,99.1,1950-1980,1057990
Greenwich,2,1,41.7,1980-2000,600497
Westminster,1,1,25.0,Pre-1900,1022856
Wandsworth,2,1,65.0,1980-2000,871127
Lambeth,2,1,77.9,1950-1980,869111
Tower Hamlets,5,3,123.8,1950-1980,1140594
Tower Hamlets,2,1,49.3,1950-1980,792949
Hackney,5,3,160.7,1950-1980,1280975
Islington,2,1,63.0,1900-1950,924261
Barking and Dagenham,1,1,38.1,Pre-1900,583342
Waltham Forest,1,1,25.0,1900-1950,621619
Haringey,1,1,25.0,1980-2000,643146
Southwark,2,1,53.5,1950-1980,751139
Islington,1,1,25.0,1950-1980,780253
Greenwich,2,1,30.9,1950-1980,669719
Bromley,5,3,132.3,1950-1980,1055884
Tower Hamlets,3,2,104.3,1900-1950,1030578
Southwark,3,2,84.9,Pre-1900,954211
Barking and Dagenham,1,1,48.6,Post-2000,542459
Ealing,2,1,58.7,1950-1980,765806
Hammersmith and Fulham,2,1,44.5,1980-2000,912527
Barking and Dagenham,4,3,131.2,1950-1980,877964
Brent,1,1,31.2,1980-2000,602877
Bromley,2,2,70.4,1950-1980,740885
Islington,2,1,40.0,Pre-1900,866545
Bromley,2,1,71.6,Post-2000,806499
Lambeth,3,2,100.0,1900-1950,964611
Brent,1,1,32.3,Pre-1900,634182
Newham,2,1,43.9,Pre-1900,679661
Hammersmith and Fulham,3,1,83.3,1980-2000,1140326
Croydon,2,1,65.2,1980-2000,708498
Lambeth,2,1,59.5,1980-2000,778897
Camden,1,1,37.0,Post-2000,924059
Hammersmith and Fulham,3,2,99.2,1900-1950,1160259
Haringey,5,4,130.3,1950-1980,1101936
Hackney,3,2,66.7,1980-2000,926502
Waltham Forest,4,3,111.4,Post-2000,987641
Hackney,2,1,51.1,1900-1950,822259
Wandsworth,1,1,39.8,Post-2000,799315
Islington,1,1,25.0,Pre-1900,828965
Haringey,3,2,99.3,1980-2000,925569
Tower Hamlets,2,1,76.3,1980-2000,857563
Hammersmith and Fulham,3,1,84.0,Post-2000,1204735
Hackney,3,2,84.9,Pre-1900,913999
Westminster,5,4,128.5,Pre-1900,1442730
Ealing,2,2,47.9,Pre-1900,769338
Barking and Dagenham,2,1,49.9,1950-1980,607128
Tower Hamlets,2,1,77.6,1980-2000,869054
Kensington and Chelsea,2,1,54.9,Post-2000,1329644
Lewisham,4,2,92.2,1950-1980,856411
Islington,1,1,31.8,Pre-1900,765356
Waltham Forest,5,4,152.4,1900-1950,1206160
Hammersmith and Fulham,5,3,139.6,Pre-1900,1370491
Tower Hamlets,2,1,78.0,1980-2000,828520
Brent,2,1,67.7,Post-2000,883110
Lewisham,1,1,25.0,Post-2000,636063
Lambeth,2,2,47.7,1950-1980,698823
Wandsworth,1,1,31.4,Pre-1900,725955
Wandsworth,2,1,31.0,1900-1950,800761
Waltham Forest,1,1,33.0,1950-1980,615137
Croydon,3,2,57.6,Post-2000,697934
Hackney,2,1,71.4,Pre-1900,829817
Islington,1,1,41.6,Pre-1900,938403
Hackney,2,2,63.6,1980-2000,803601
Southwark,5,3,129.9,1980-2000,1190624
Hackney,3,2,86.6,1900-1950,1045163
Croydon,2,1,48.3,Post-2000,684951
Camden,3,1,68.5,Pre-1900,1055864
Lambeth,3,1,78.9,Post-2000,885174
Barking and Dagenham,4,2,122.5,1900-1950,881858
Southwark,1,1,28.7,Pre-1900,717368
Westminster,4,2,133.8,1900-1950,1510801
Westminster,2,1,67.5,1900-1950,1134985
Camden,4,3,121.9,1950-1980,1209352
Greenwich,2,1,31.9,1980-2000,659430
Croydon,4,2,107.7,1950-1980,869591
Westminster,5,3,124.0,1980-2000,1440099
Lambeth,1,1,25.3,1950-1980,609564
Southwark,5,3,129.6,Pre-1900,1179224
Newham,1,1,25.0,Post-2000,583878
Haringey,1,1,43.9,Post-2000,842237
Hammersmith and Fulham,2,1,63.1,Pre-1900,1071131
Tower Hamlets,5,3,155.1,1950-1980,1255573
Camden,2,2,32.0,1980-2000,845216
Brent,2,1,56.9,1900-1950,817581
Lewisham,3,2,98.5,1950-1980,912312
Waltham Forest,5,3,162.6,1950-1980,1140096
Westminster,3,2,60.8,1900-1950,1183916
Brent,1,1,25.0,Pre-1900,616469
Brent,2,1,71.5,1980-2000,748464
Waltham Forest,1,1,25.1,1900-1950,622496
Southwark,3,2,70.3,1900-1950,928964
Brent,1,1,25.0,1980-2000,618564
Westminster,2,1,41.8,1980-2000,1031827
Barking and Dagenham,4,2,86.7,1900-1950,800909
Lambeth,2,1,56.9,Post-2000,928732
Ealing,2,1,69.4,1980-2000,775753
Lewisham,2,1,37.1,1900-1950,708515
Lambeth,1,1,31.9,1950-1980,631647
Haringey,2,1,68.7,1980-2000,806198
Camden,2,1,56.0,1900-1950,984921
Wandsworth,4,3,87.8,1950-1980,942721
Lambeth,2,1,61.8,1980-2000,772456
Islington,2,1,55.2,1950-1980,878753
Lewisham,3,2,81.7,1980-2000,788738
Camden,3,2,75.8,1950-1980,1055546
Barking and Dagenham,3,2,85.3,1900-1950,735805
Lewisham,5,2,147.6,1950-1980,1070696
Waltham Forest,3,2,119.9,1950-1980,937292
Ealing,2,2,57.7,1980-2000,868935
Islington,3,2,106.7,1980-2000,1049212
Greenwich,2,1,61.4,1950-1980,729727
Southwark,2,1,54.5,Post-2000,824709
Waltham Forest,2,1,58.2,Pre-1900,763793
Brent,1,1,25.0,1900-1950,651357
Ealing,1,1,32.6,1900-1950,696550
Westminster,1,1,25.0,1900-1950,939872
Newham,1,1,25.0,1980-2000,488187
Greenwich,4,3,113.6,Pre-1900,1035152
Lewisham,4,3,129.9,1900-1950,1090579
Kensington and Chelsea,2,2,77.5,1900-1950,1308209
Waltham Forest,3,2,80.5,1980-2000,884259
Kensington and Chelsea,1,1,30.3,Post-2000,1168341
Barking and Dagenham,4,2,126.8,1980-2000,910597
Croydon,2,1,36.1,1900-1950,608360
Camden,1,1,34.1,1950-1980,840010
Kensington and Chelsea,1,1,25.0,Pre-1900,1132370
Ealing,2,2,53.4,1900-1950,802645
Lambeth,1,1,25.0,Post-2000,653076
Camden,2,1,62.5,1950-1980,1017131
Ealing,1,1,36.3,Pre-1900,683695
Greenwich,1,1,41.4,1950-1980,602525
Newham,2,1,61.2,1900-1950,664134
Islington,5,3,142.6,1950-1980,1283757
Kensington and Chelsea,1,1,55.8,1950-1980,1154125
Brent,1,1,25.0,1900-1950,657700
Newham,3,2,109.4,Post-2000,1012497
Croydon,4,2,107.7,1950-1980,917593
Greenwich,2,1,64.6,Post-2000,802048
Wandsworth,4,2,107.1,1980-2000,1077051
Camden,2,1,45.5,1980-2000,902646
Waltham Forest,1,1,35.3,1950-1980,653250
Haringey,2,1,71.6,Pre-1900,915254
Barking and Dagenham,3,2,91.1,1980-2000,740752
Waltham Forest,2,1,47.9,1950-1980,722462
Waltham Forest,3,2,138.2,Pre-1900,1118611
Newham,1,1,46.0,1950-1980,550372
Southwark,3,2,98.0,1980-2000,1009618
Bromley,2,1,50.7,Post-2000,744487
Croydon,2,2,46.6,1950-1980,516007
Wandsworth,2,2,51.8,1950-1980,795904
Newham,3,3,100.2,Post-2000,928086
Wandsworth,1,1,25.0,1900-1950,715297
Lewisham,3,2,68.0,Pre-1900,940603
Hammersmith and Fulham,3,2,92.1,1900-1950,1184080
Greenwich,1,1,32.8,Post-2000,650643
Greenwich,5,4,128.4,1900-1950,1105242
Greenwich,3,2,67.6,1900-1950,787559
Brent,2,1,77.6,1950-1980,844168
Lewisham,1,1,33.4,Post-2000,672182
Lambeth,2,1,35.5,Post-2000,768021
Camden,1,1,25.0,1950-1980,762535
Greenwich,2,2,50.6,Post-2000,679447
Hammersmith and Fulham,2,1,67.0,1900-1950,1026018
Camden,3,2,92.9,1900-1950,1162543
Camden,1,1,45.0,Post-2000,944625
Islington,3,2,61.6,1950-1980,949925
Ealing,2,1,59.4,1900-1950,793757
Brent,2,1,77.4,1950-1980,823583
Hackney,3,2,104.0,1980-2000,989899
Greenwich,3,2,89.4,Post-2000,920558
Southwark,2,1,91.2,Post-2000,957632
Ealing,2,1,65.1,1950-1980,720956
Hammersmith and Fulham,2,1,71.6,Post-2000,1106138
Brent,2,1,56.7,1950-1980,795286
Lambeth,2,1,44.3,1980-2000,676655
Tower Hamlets,3,1,70.9,1980-2000,877827
Greenwich,2,2,58.7,1950-1980,734937
Kensington and Chelsea,1,1,25.0,Pre-1900,1212001
Bromley,2,2,29.5,1950-1980,618931
Barking and Dagenham,1,1,25.0,1980-2000,457219
Wandsworth,2,1,51.2,1900-1950,800016
Barking and Dagenham,2,1,66.9,Pre-1900,727802
Camden,2,1,55.8,1900-1950,951459
Haringey,3,2,82.9,Pre-1900,936892
Bromley,1,1,25.0,1980-2000,538542
Hackney,4,2,112.3,1900-1950,1145375
Brent,2,1,75.8,Pre-1900,896083
Wandsworth,2,1,58.3,1980-2000,887998
Croydon,3,2,61.4,Post-2000,695653
Hackney,3,2,65.2,Pre-1900,945581
Hammersmith and Fulham,2,1,64.8,1900-1950,971604
Bromley,3,2,80.6,Post-2000,928545
Islington,4,2,110.9,1950-1980,1153787
Barking and Dagenham,3,2,74.8,Post-2000,775238
Newham,1,1,35.6,1900-1950,613414
Newham,3,2,79.5,1900-1950,815480
Barking and Dagenham,3,2,81.2,1900-1950,681505
Haringey,3,2,71.2,Pre-1900,932215
Kensington and Chelsea,3,2,97.8,Post-2000,1496293
Waltham Forest,5,3,136.7,Post-2000,1145285
Greenwich,2,1,65.1,Post-2000,730137
Islington,1,1,25.0,Post-2000,899100
Wandsworth,2,1,82.0,Post-2000,1044280
Ealing,1,1,47.2,1980-2000,738300
Bromley,2,1,27.4,Post-2000,677683
Bromley,2,1,44.0,1900-1950,627918
Lewisham,2,1,63.2,1950-1980,758662
Islington,3,2,64.2,1980-2000,994381
Waltham Forest,3,2,82.0,Post-2000,905104
Lewisham,2,1,62.4,1980-2000,793390
Lambeth,4,3,109.2,Post-2000,1117221
Lambeth,1,1,36.1,1950-1980,652832
Hammersmith and Fulham,3,2,73.6,1980-2000,1084002
Croydon,3,1,50.3,Post-2000,723219
Southwark,2,1,70.7,1900-1950,900958
Kensington and Chelsea,2,1,70.6,Post-2000,1327931
Camden,2,1,93.6,1950-1980,1079480
Wandsworth,3,1,50.9,1980-2000,826299
Southwark,3,2,95.3,Post-2000,1085880
Ealing,2,1,26.5,1950-1980,668429
Camden,2,1,82.3,1950-1980,995686
Waltham Forest,1,1,35.3,1950-1980,617836
Lewisham,2,1,41.7,Pre-1900,664872
Waltham Forest,5,3,151.7,1950-1980,1222126
Brent,1,1,25.0,1900-1950,692115
Camden,4,2,116.5,Post-2000,1345620
Wandsworth,3,2,87.1,Pre-1900,1081079
Camden,5,3,166.2,1950-1980,1427640
Bromley,1,1,55.2,Post-2000,797824
Tower Hamlets,1,1,25.0,Post-2000,743488
Newham,1,1,43.9,1980-2000,608320
Ealing,3,1,89.3,1950-1980,904973
Waltham Forest,3,1,62.8,1900-1950,856580
Ealing,1,1,25.0,1950-1980,632859
Croydon,3,2,119.0,Pre-1900,911429
Hammersmith and Fulham,2,1,61.4,1980-2000,917314
Barking and Dagenham,1,1,43.0,1900-1950,549267
Westminster,2,1,52.8,1980-2000,990991
Lewisham,1,1,25.0,1950-1980,519859
Haringey,2,1,56.4,1950-1980,735959
Kensington and Chelsea,2,1,52.0,1950-1980,1131783
Waltham Forest,4,2,89.6,Post-2000,1014421
Hammersmith and Fulham,3,2,69.0,1900-1950,1129432
Lewisham,2,2,66.6,1950-1980,760513
Lewisham,3,2,78.3,Pre-1900,887314
Greenwich,2,1,56.4,Pre-1900,766094
Westminster,2,1,59.5,1980-2000,998460
Hackney,3,2,88.7,1900-1950,992643
Lewisham,3,2,101.2,Pre-1900,870337
Lewisham,3,2,67.5,Post-2000,867684
Hammersmith and Fulham,3,2,92.6,1950-1980,1029213
Wandsworth,3,2,95.3,Pre-1900,1040421
Islington,2,1,70.8,Pre-1900,1022168
Bromley,4,3,90.8,Pre-1900,927611
Hackney,1,1,31.8,1950-1980,716846
Islington,4,2,137.7,1980-2000,1292358
Croydon,2,1,54.5,1980-2000,676029
Hackney,1,1,35.3,Pre-1900,774303
Waltham Forest,3,2,95.7,1980-2000,905602
Kensington and Chelsea,2,1,40.6,1950-1980,1120739
Kensington and Chelsea,3,2,111.5,1950-1980,1398177
Haringey,2,2,63.5,Post-2000,874721
Hammersmith and Fulham,3,2,91.8,1900-1950,1140992
Islington,2,1,31.1,Pre-1900,811542
Hammersmith and Fulham,1,1,39.9,Post-2000,953239
Wandsworth,2,1,63.6,1900-1950,874308
Lewisham,3,2,108.4,1900-1950,928600
Kensington and Chelsea,3,2,79.3,1980-2000,1366740
Bromley,2,1,41.2,1980-2000,657259
Barking and Dagenham,5,2,129.8,Post-2000,1018322
Islington,3,1,76.4,1900-1950,1088642
Kensington and Chelsea,4,3,95.2,1950-1980,1412125
Haringey,1,1,47.4,Pre-1900,805885
Hackney,1,1,47.9,1950-1980,711072
Tower Hamlets,2,1,53.1,1900-1950,822692
Hackney,1,1,25.0,1980-2000,639981
Croydon,2,1,28.8,Pre-1900,579652
Newham,2,1,66.4,Pre-1900,736267
Westminster,2,1,80.8,1950-1980,1108771
Haringey,3,2,74.4,Post-2000,934074
Ealing,5,3,138.2,Post-2000,1200133
Westminster,4,3,118.5,Post-2000,1417504
Lewisham,1,1,53.9,1950-1980,694788
Newham,2,1,59.0,Pre-1900,710190
Bromley,2,1,58.9,1900-1950,789017
Camden,1,1,30.7,1980-2000,848965
Bromley,2,1,34.6,Pre-1900,707874
Barking and Dagenham,2,1,34.3,1900-1950,564555
Newham,1,1,25.0,Pre-1900,551283
Haringey,3,2,99.2,1950-1980,1012412
Kensington and Chelsea,3,1,79.0,1900-1950,1390323
Waltham Forest,1,1,25.0,Pre-1900,627235
Barking and Dagenham,2,1,47.8,1950-1980,561391
Westminster,4,2,109.9,1950-1980,1299020
Kensington and Chelsea,2,1,81.5,1950-1980,1274565
Westminster,2,1,53.7,1980-2000,1138059
Barking and Dagenham,2,1,44.2,Pre-1900,547797
Barking and Dagenham,1,1,28.4,1980-2000,520716
Hammersmith and Fulham,1,1,54.3,Pre-1900,1026210
Tower Hamlets,3,1,76.5,1950-1980,807132
Haringey,1,1,25.0,1950-1980,618753
Haringey,2,1,48.5,Post-2000,780117
Kensington and Chelsea,1,1,29.9,1950-1980,1059481
Southwark,3,2,94.3,1900-1950,976998
Westminster,1,1,43.1,1950-1980,959655
Waltham Forest,2,1,40.3,1950-1980,650657
Brent,2,1,41.7,1950-1980,710387
Bromley,2,1,51.2,1900-1950,762890
Tower Hamlets,2,2,66.3,1950-1980,805172
Lewisham,2,1,37.1,1900-1950,680074
Barking and Dagenham,3,2,74.9,1980-2000,750014
Hammersmith and Fulham,5,2,131.1,1950-1980,1307402
Hackney,2,1,70.1,Pre-1900,971472
Brent,1,1,35.9,Post-2000,650341
Waltham Forest,1,1,41.6,1980-2000,591408
Hackney,3,2,104.1,1900-1950,973733
Islington,2,2,51.4,Pre-1900,849269
Croydon,3,2,66.2,1980-2000,763587
Bromley,3,2,66.3,1950-1980,824554
Brent,4,2,84.4,Post-2000,1022810
Southwark,4,3,105.1,Pre-1900,1032649
Wandsworth,3,2,78.2,Pre-1900,1017646
Lambeth,2,1,67.8,Post-2000,870619
Lewisham,2,1,56.3,Post-2000,779551
Ealing,2,1,48.6,Pre-1900,800782
Newham,2,1,54.3,1980-2000,649658
Southwark,3,1,68.4,1900-1950,1004143
Waltham Forest,1,1,43.4,1980-2000,720109
Croydon,3,2,72.2,Post-2000,776471
Bromley,2,2,38.9,Pre-1900,677024
Newham,3,2,96.3,1900-1950,871022
Greenwich,1,1,36.6,Pre-1900,642933
Greenwich,2,1,30.1,Pre-1900,690631
Tower Hamlets,1,1,40.8,Pre-1900,677138
Bromley,4,2,100.9,Post-2000,1043485
Kensington and Chelsea,2,1,50.4,1900-1950,1163698
Ealing,1,1,30.8,1950-1980,644772
Bromley,1,1,36.8,1980-2000,649497
Tower Hamlets,3,2,90.7,1950-1980,993854
Barking and Dagenham,1,1,27.3,1950-1980,410544
Newham,5,3,133.6,Pre-1900,1138530
Ealing,2,2,62.2,1950-1980,703988
Lewisham,2,1,54.2,Pre-1900,689696
